sensor1,417, ,30/09/2021,20:19:08
sensor2,0, ,30/09/2021,20:19:08
sensor2,0, ,30/09/2021,20:22:46
sensor1,426, ,30/09/2021,20:22:46
sensor2,0, ,30/09/2021,20:22:46
sensor2,0, ,30/09/2021,20:22:46
sensor2,0, ,30/09/2021,20:22:46
sensor1,409, ,30/09/2021,20:22:46
sensor1,415, ,30/09/2021,20:22:46
sensor2,0, ,30/09/2021,20:22:46
sensor1,408, ,30/09/2021,20:22:46
sensor1,415, ,30/09/2021,20:22:46
sensor1,427, ,30/09/2021,20:22:46
sensor2,0, ,30/09/2021,20:22:46
sensor2,0, ,30/09/2021,20:22:47
sensor1,427, ,30/09/2021,20:22:46
sensor1,408, ,30/09/2021,20:27:07
sensor2,0, ,30/09/2021,20:27:07
sensor1,408, ,30/09/2021,20:27:28
sensor2,0, ,30/09/2021,20:27:28
sensor1,408, ,30/09/2021,20:27:48
sensor2,0, ,30/09/2021,20:27:48
sensor1,408, ,30/09/2021,20:28:09
sensor2,0, ,30/09/2021,20:28:09
sensor1,408, ,30/09/2021,20:28:29
sensor2,0, ,30/09/2021,20:28:29
sensor1,408, ,30/09/2021,20:28:50
sensor2,0, ,30/09/2021,20:28:50
sensor1,408, ,30/09/2021,20:29:10
sensor2,0, ,30/09/2021,20:29:10
sensor1,414, ,30/09/2021,20:29:30
sensor2,0, ,30/09/2021,20:29:30
sensor1,414, ,30/09/2021,20:29:51
sensor2,0, ,30/09/2021,20:29:51
sensor1,414, ,30/09/2021,20:30:11
sensor2,0, ,30/09/2021,20:30:11
sensor1,414, ,30/09/2021,20:30:32
sensor2,0, ,30/09/2021,20:30:32
sensor1,414, ,30/09/2021,20:30:52
sensor2,0, ,30/09/2021,20:30:52
sensor1,414, ,30/09/2021,20:31:12
sensor2,0, ,30/09/2021,20:31:13
sensor1,414, ,30/09/2021,20:31:33
sensor2,0, ,30/09/2021,20:31:33
sensor1,414, ,30/09/2021,20:31:53
sensor2,0, ,30/09/2021,20:31:53
sensor1,414, ,30/09/2021,20:32:13
sensor2,0, ,30/09/2021,20:32:14
sensor1,408, ,30/09/2021,20:32:34
sensor2,0, ,30/09/2021,20:32:34
sensor1,408, ,30/09/2021,20:32:54
sensor2,0, ,30/09/2021,20:32:54
sensor1,408, ,30/09/2021,20:33:15
sensor2,0, ,30/09/2021,20:33:15
sensor1,408, ,30/09/2021,20:33:35
sensor2,0, ,30/09/2021,20:33:35
sensor1,408, ,30/09/2021,20:33:55
sensor2,0, ,30/09/2021,20:33:55
sensor1,416, ,30/09/2021,20:34:16
sensor2,0, ,30/09/2021,20:34:16
sensor1,416, ,30/09/2021,20:34:36
sensor2,0, ,30/09/2021,20:34:36
sensor1,412, ,30/09/2021,20:34:57
sensor2,0, ,30/09/2021,20:34:58
sensor1,414, ,30/09/2021,20:35:18
sensor2,0, ,30/09/2021,20:35:18
sensor1,414, ,30/09/2021,20:35:38
sensor2,0, ,30/09/2021,20:35:39
sensor1,413, ,30/09/2021,20:35:59
sensor2,0, ,30/09/2021,20:35:59
sensor1,414, ,30/09/2021,20:36:19
sensor2,0, ,30/09/2021,20:36:20
sensor1,414, ,30/09/2021,20:36:40
sensor2,0, ,30/09/2021,20:36:40
sensor1,409, ,30/09/2021,20:37:00
sensor2,0, ,30/09/2021,20:37:01
sensor1,427, ,30/09/2021,20:37:21
sensor2,0, ,30/09/2021,20:37:21
sensor1,427, ,30/09/2021,20:37:42
sensor2,0, ,30/09/2021,20:37:42
sensor1,424, ,30/09/2021,20:38:03
sensor2,0, ,30/09/2021,20:38:03
sensor1,305, ,30/09/2021,20:38:24
sensor2,0, ,30/09/2021,20:38:24
sensor1,301, ,30/09/2021,20:38:45
sensor2,0, ,30/09/2021,20:38:45
sensor1,301, ,30/09/2021,20:39:06
sensor2,0, ,30/09/2021,20:39:06
sensor1,313, ,30/09/2021,20:39:26
sensor2,0, ,30/09/2021,20:39:27
sensor1,302, ,30/09/2021,20:39:47
sensor2,0, ,30/09/2021,20:39:47
sensor1,302, ,30/09/2021,20:40:08
